ID,Название навыка,Описание навыка и компетенции,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IT - Программирование - Интернет,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HTML,"Данный язык является мировым стандартом в отображении информации на пользовательской стороне, т.е. в самом браузере. От того на сколько корректно написана страница сайта на этом языке - зависит правильность отображения информации у конечного пользователя.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,HTML 5,"В отличие от HTML, HTML5 имеет более расширенные возможности. Данный язык также используется для создания продуктов на мобильных устройствах. Оценивается умение полноценно и грамотно пользоваться данным языком.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSS,"Данный язык является мировым стандартом в отображении информации на пользовательской стороне, т.е. в самом браузере. Данный язык применяется для визуализации графических отображений текста и картинок в браузере. Оценивается умение полдноценно и  грамотно ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSS3,CSS3 имеет более расширенные возможности по сравнению с обычным CSS. Данный язык также используется для создания продуктов на мобильных устройствах. Оценивается умение полноценно и грамотно пользоваться данным языком.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PHP,"Язык серверного программирования, на котором выполняется процыссы взаимодействия между пользовательским отображением информации о процессов происходящих при подготовке и обработки запросов на серверной стороне сайта.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javascript,Язык в основном используется для визуализации сайта сцелью его оживления при помощи различных графических эффектов и элементов. Оценивается полноценное и корректное владение данным языком.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Python,"Данный язык в своем роде является в чем то аналогом PHP, но с более простым интерфейсом и большими возможностями. Оценивается полноценное знание и корректное использование языка программирования.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,C#,"Данный язык является языком веб программирования, который использует в своей разработке компания Microsoft. По многим функциям он схож с PHP и Piton. Оценивается полноценное знание и корректное использование всего функционала языка программирования.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perl,"Является языком разработки серверной стороны сайта, но в последнее время используется все реже. Функции и возможности приблизительно такие же как и у C#, PHP. Оценивается полноценное знание и корректное использование данного языка программирования.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruby,"Является более мощным языком программирования по функционалу, чем Perl, но уступает РНР. Оценивается полноценное знание и корректное использование языка программирования.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,MS SQL Server,"Коммерческий вариант баз данных, используемых в программировании, выпущенный компанией Microsoft. Оцениваются функциональные знания, эффективность и грамотность работы с базой данных.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oracle,"Альтернативная база данных, которая используется на серверном программировании. Оцениваются функциональные знания, эффективность и грамотность работы с базой данных.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Самописная CMS,"Самописная система управления сайтом — платная или бесплатная CMS, написанная и поддерживаемая исключительно одним автором-разработчиком. Чаще всего такие системы предлагаются студиями веб-дизайна в качестве платформы для заказываемого сайта.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bitrix,"«1С-Битрикс: Управление сайтом» - это профессиональная система управления веб-проектами, универсальный программный продукт для создания, поддержки и успешного развития: корпоративных сайтов",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joomla,"Joomla! одна из наиболее мощных Систем Управления Содержимым с Открытым Кодом (Open Source CMS) на планете. Она используется по всему миру для всего, от простых сайтов до комплексных корпоративных приложений.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordPress,WordPress — система управления содержимым сайта с открытым исходным кодом; написана на PHP; сервер базы данных — MySQL; выпущена под лицензией GNU GPL версии 2. Сфера применения — от блогов до достаточно сложных новостных ресурсов и интернет-магазинов.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODX,"MODX — это профессиональный инструмент разработки сайтов, позволяющий управлять контентом (да и самим сайтом) абсолютно на все 100%! Эта система с открытым кодом (open source), и поэтому бесплатна. В отличие от большинства бесплатных CMS ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMIRO,"Amiro.CMS (Амиро) — коммерческая система управления сайтом (англ. CMS), разработанная и распространяемая российской компанией «Амиро» (Новосибирск). Написана на языке PHP и использует MySQL в качестве базы данных. Является универсальной платформой, позволяющей создавать и поддерживать веб-сайты практически любого уровня сложности. В настоящее время занимает второе место по количеству работ в рейтинге портала CMS Magazine и пятое место в рейтинге платных тиражных CMS по версии iTrack, её доля оценивается в 3,54 %[исс. 1].",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drupal,"Drupal – система управления сайтами на бесплатной основе. Имеет открытый исходный код и распространяется по лицензии GPL. Этопрограммное обеспечение позволит даже новичку публиковать, управлять и правильно организовывать содержимое на собственном сайте.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,UMI,"UMI.CMS — коммерческая мультисайтовая система управления контентом, созданная командой российских разработчиков «Юмисофт». В массовую продажу поступила в 2007 году.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,NetCat,"NetCat – система управления сайтами NetCat — это CMS или движок, программа, которая позволит администратору с легкостью управлять содержимым сайта, а программисту – проектировать любые Интернет-проекты от сайтов-визиток до крупных Интернет-магазинов и высокопосещаемых порталов.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,HostCMS,"HostCMS — коммерческая многосайтовая система управления содержимым (CMS), разработанная российской компанией «Хостмэйк» и являющаяся одной из старейших CMS на российском рынке[1]. Распространяется под проприетарной лицензией с открытым исходным кодом.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opencart,"OpenCart — система управления содержимым, ориентированная на создание интернет-магазинов. Является свободным программным обеспечением, распространяемым по лицензии GNU General Public License v3[4]. Системой «OpenCart» поддерживаются дополнения[5].",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zend,"Zend Framework это открытый, объектно ориентированый фреймворк для PHP 5. Zend Framework часто называют ""библиотекой компонентов"" потому что он имеет много слабо связаных компонентов, которые вы можете использовать, в большей или меньшей степени, независимо.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Symfony,"Symfony — свободный фреймворк, написанный на PHP5, который использует паттерн Model-View-Controller.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Django,"Джанго – это высокоуровневый питоновский Web-фреймворк, который реализован на основе архитектуры MVC. Джанго имеет прозрачный дизайн, дает возможность для оперативной разработки Web-приложений, позволяет разрабатывать динамические Web-сайты.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yii,"Yii — это высокоэффективный, основанный на компонентной структуре PHP-фреймворк для быстрой разработки крупных веб-приложений. Он позволяет максимально применить концепцию повторного использования кода и может существенно ускорить процесс веб-разработки.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,C#,C# (произносится «си шарп») — объектно-ориентированный язык программирования. Разработан в 1998—2001 годах группой инженеров под руководством Андерса Хейлсберга в компании Microsoft как язык разработки приложений для платформы Microsoft . NET Framework и впоследствии был стандартизирован как ECMA-334 и ISO/IEC 23270.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Python,"Python – это один из наиболее популярных современных языков программирования. Он пригоден для решения разнообразных задач и предлагает те же возможности, что и другие языки программирования: динамичность, поддержку ООП и кросс-платформенность.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruby,"Ruby – это тщательно сбалансированный язык. Его создатель Юкихиро Мацумото (так же известный как “Matz”), объединил части его любимых языков (Perl, Smalltalk, Eiffel, Ada и Lisp) чтобы сформировать новый язык, в котором парадигма функционального программирования сбалансирована принципами императивного программирования.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Java,"Java представляет собой язык программирования и платформу вычислений, которая была впервые выпущена Sun Microsystems в 1995 г. Существует множество приложений и веб-сайтов, которые не работают при отсутствии установленной Java, и с каждым днем число таких веб-сайтов и приложений увеличивается.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,JavaScript,Является реализацией языка ECMAScript (стандарт ECMA-262).JavaScript обычно используется как встраиваемый язык для программного доступа к объектам приложений. Наиболее широкое применение находит в браузерах как язык сценариев для придания интерактивности веб-страницам.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ada,"Ada) — язык программирования, созданный в 1979—1980 годах в ходе проекта Министерством обороны США с целью разработать единый язык программирования для встроенных систем (то есть систем управления автоматизированными комплексами, функционирующими в реальном времени). Имелись в виду, прежде всего, бортовые системы управления военными объектами (кораблями, самолётами, танками, ракетами, снарядами и т. п.). Перед разработчиками не стояло задачи создать универсальный язык, поэтому решения, принятые авторами Ады, нужно воспринимать в контексте особенностей выбранной предметной области. Язык назван в честь Ады Лавлейс.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,SDK,"SDK (от англ. software development kit) — комплект средств разработки, который позволяет специалистам по программному обеспечению создавать приложения для определённого пакета программ, программного обеспечения базовых средств разработки, аппаратной платформы, компьютерной системы, игровых консолей, операционных систем ..",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIX,"AIX - Будущее UNIX. Операционная система (ОС) AIX® - этооперационная система UNIX® на основе открытых стандартов, которая позволяет вам запускать требуемые приложения на требуемом аппаратном обеспечении - серверах на основе ОС IBM UNIX.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASP,"ASP (Active Server Pages) – это мощная технология от Microsoft, позволяющая легко разрабатывать приложения для WWW. ASPработает на платформе Windows NT и IIS (Internet Information Server), начиная с версии 3, хотя вроде есть реализации на других платформах.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATL,"ATL (от англ. above-the-line) — комплекс маркетинговых коммуникаций, включающий традиционные (классические) виды рекламы. В ATL включается реклама в традиционных СМИ — пресса, радио, телевидение, реклама OOH ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AWT,AWT) — это исходная платформо-независимая оконная библиотека графического интерфейса (Widget toolkit) языка Java. Сейчас AWT является частью Java Foundation Classes (JFC) — стандартного API для реализации графического интерфейса в Java-программе.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AWK,"AWK — интерпретируемый скриптовый C-подобный язык построчного разбора и обработки входного потока (например, текстового файла) по заданным шаблонам (регулярным выражениям). Используется в bash (SH) скриптах. Название AWKскладывается из инициалов разработчиков языка: Alfred V. Aho, Peter J.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADO,"ADO (от англ. ActiveX Data Objects — «объекты данных ActiveX») — интерфейс программирования приложений для доступа к данным, разработанный компанией Microsoft (MS Access, MS SQL Server) и основанный на технологии компонентов ActiveX.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARM,"ARM (компания) (ARM Ltd.) — британская корпорация, один из крупнейших разработчиков и лицензиаров архитектуры 32-разрядных RISC-процессоров, ориентированных на использование в портативных и мобильных устройствах (телефонах, органайзерах и т. п.). Это ARM V6,V7 и т.д.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMQP,"AMQP (Advanced Message Queuing Protocol) — открытый протокол для передачи сообщений между компонентами системы. Основная идея состоит в том, что отдельные подсистемы (или независимые приложения) могут обмениваться произвольным образом сообщениями через AMQP-брокер, который осуществляетмаршрутизацию, возможно гарантирует доставку, распределение потоков данных, подписку на нужные типы сообщений.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AJAX,"AJAX, Ajax (ˈeɪdʒæks, от англ. Asynchronous Javascript and XML — «асинхронный JavaScript и XML») — подход к построению интерактивных пользовательских интерфейсов веб-приложений, заключающийся в «фоновом» обмене данными браузера с веб-сервером.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACPI,"ACPI — этоменеджер питания"" слишком поверхностно отражает суть этой системной архитектуры. Между прочим, с приходом ACPI в индустрию канули в лету ""разборки"" между BIOS'ом и операционкой, появился спящий режим и еще куча полезных функций, о которых раньше можно было только мечтать.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASIO,"ASIO), «ввод-вывод потоковых аудиоданных» — протокол передачи данных с малой задержкой (англ. low-latency), разработанный компанией Steinberg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atom,Atom — общее название двух связанных веб-технологий: формата для описания ресурсов на веб-сайтах и протокола для их публикации.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adva,"это современное  оборудование спектрального уплотнения (WDM),  ориентированное на  рынок операторов связи и корпоративный сегмент.  Обладая высокой масштабируемостью, гибкостью и надёжностью , FSP 3000 позволяет эффективно организовывать Заказчику сервисы для различных  бизнес-приложений, такие как: Ethernet, OTN, SONET/SDHSAN, Video",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Akka," Akka состоит из нескольких взаимодействующих компонентов. ActorRef – это логический адрес актора, позволяющий асинхронно отправлять актору сообщения по принципу «послал и забыл». Диспетчер — в данном случае по умолчанию на каждую систему акторов приходится по одному диспетчеру — отвечает за постановку сообщений в очередь, ведущую в почтовый ящик актора, а также приказывает этому ящику изъять из очереди одно или несколько сообщений, но только по одному за раз — и передать их актору на обработку. Последнее, но немаловажное: актор — обычно это единственный API, который нам приходится реализовать — инкапсулирует состояние, и поведение.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avid,"Avid») — компьютерная программа, относящаяся к категории профессиональных систем нелинейного видеомонтажа. Это флагманский продукт компании Avid Technology. Он был выпущен в 1989 году на Macintosh II в качестве автономной системы редактирования. С того времени возможности данного приложения возросли до такой степени, что оно позволяет производить монтаж фильмов в несжатом формате стандартной четкости SD и в формате видео высокой четкости HD. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avaya,"Avaya Inc. (произносится Авайя Инк.) — американская компания специализируется на проектировании, разработке, развертывании и администрировании корпоративных сетей связи для широкого спектра компаний — от малых предприятий и некоммерческих фондов до крупных корпораций и правительственных учреждений.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adaco,"Adaco является мировым лидером в области закупок и оперативного программного обеспечения управления решений для гостиничного сектора в США и во всем мире. Он используется в 54 странах по всему миру, практически во всех крупных гостиничной сети, в том числе Marriott, Starwood, Loews, Wyndham Worldwide, Ritz Carlton и Джумейра.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axure, программное обеспечение для создания прототипов и спецификаций веб-сайтов иприложений.[2],,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANSYS,"ANSYS — универсальная программная система конечно-элементного (МКЭ) анализа, существующая и развивающаяся на протяжении последних 30 лет, является довольно популярной у специалистов в сфере автоматизированных инженерных расчётов (CAE, Computer-Aided Engineering) и КЭ решения линейных и нелинейных, стационарных и нестационарных пространственных задач механики деформируемого твёрдого тела и механики конструкций (включая нестационарные геометрически и физически нелинейные задачи контактного взаимодействия элементов конструкций), задач механики жидкости и газа, теплопередачи и теплообмена, электродинамики, акустики, а также механики связанных полей. Моделирование и анализ в некоторых областях промышленности позволяет избежать дорогостоящих и длительных циклов разработки типа «проектирование — изготовление — испытания». Система работает на основе геометрического ядраParasolid[1]. Программная система КЭ анализа ANSYS разрабатывается американской компанией ANSYS Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Autoit,AutoIt — свободно распространяемый язык для автоматизации выполнения задач в Microsoft Windows.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actian,"мировой лидер по разработке программного обеспечения для инфраструктуры данных. Программы Pervasive SQL позволяют клиентам управлять, объединять, анализировать и защищать их секретные данные, обеспечивая наилучшую комбинацию производительности, надежности и стоимости. Об успешных разработках Pervasive свидетельствует ее большая и разнообразная клиентская база: компания обслуживает десятки тысяч клиентов по всему миру и продает свои продукты более чем в 150 странах. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
